"DateTime","grid (26) (kw)","grid (27) (kw)","grid (43) (kw)","grid (59) (kw)","grid (77) (kw)","grid (86) (kw)","grid (93) (kw)","grid (94) (kw)","grid (101) (kw)","grid (114) (kw)","grid (142) (kw)","grid (145) (kw)","grid (153) (kw)","grid (171) (kw)"
"2019-05-02 15:30:00",-0.285,-6.264,0.763,1.075,0.833,0.409,-0.129,0.22,0.597,-0.234,-2.355,0.121,-0.441,0.453
"2019-05-02 15:45:00",-0.297,-5.576,0.831,1.007,3.808,0.416,-0.039,0.336,0.179,-0.087,-2.331,0.12,-0.298,-0.111
"2019-05-02 16:00:00",0.149,-4.807,0.823,1.037,3.499,0.535,0.158,0.336,0.938,0.116,-1.204,0.131,-0.093,1.238
"2019-05-02 16:15:00",0.212,-4.336,0.833,1.508,2.461,0.523,0.298,0.345,0.332,0.043,-0.767,0.202,0.063,1.308
"2019-05-02 16:30:00",0.392,-3.559,1.093,4.408,3.309,0.512,0.319,0.319,0.917,0.188,-0.676,0.186,0.012,0.951
"2019-05-02 16:45:00",0.571,-2.87,1.371,3.508,2.583,0.47,0.289,0.325,0.416,0.299,-0.25,0.121,0.228,1.722
"2019-05-02 17:00:00",0.452,-2.193,1.139,1.265,2.279,0.413,0.357,0.225,0.565,0.261,-0.366,0.12,0.11,2.255
"2019-05-02 17:15:00",0.501,-1.446,0.617,1.416,1.686,0.411,0.345,0.243,0.456,0.156,-0.061,0.134,0.209,2.392
"2019-05-02 17:30:00",0.324,-0.943,0.542,1.368,1.032,0.421,0.289,0.227,0.592,0.208,0.03,0.137,0.049,1.385
"2019-05-02 17:45:00",0.315,-0.493,0.567,1.355,5.838,0.531,0.313,0.315,0.711,1.343,0.056,0.122,0.113,1.55
"2019-05-02 18:00:00",0.457,0.024,0.593,1.306,8.364,0.597,0.331,0.594,0.513,0.591,0.204,0.181,0.102,1.944
"2019-05-02 18:15:00",0.519,0.08,0.583,1.376,8.458,2.97,0.287,0.321,0.736,1.001,0.266,0.189,0.189,1.362
"2019-05-02 18:30:00",0.893,0.129,0.699,0.834,9.009,0.86,0.341,0.442,0.417,0.822,0.295,0.148,0.167,0.974
"2019-05-02 18:45:00",1.442,0.393,1.092,0.755,9.028,1.507,0.427,0.663,0.826,2.174,0.932,0.186,0.181,1.228
"2019-05-02 19:00:00",0.971,0.553,0.946,0.864,8.533,1.106,0.463,0.642,0.4,1.047,3.41,0.247,0.182,1.446
"2019-05-02 19:15:00",1.036,0.561,0.476,0.752,8.479,5.728,0.953,0.634,0.782,1.045,2.693,0.669,0.158,1.121
"2019-05-02 19:30:00",1.466,0.483,0.515,0.688,8.44,6.167,0.612,0.617,0.304,1.281,1.873,0.427,0.198,0.446
"2019-05-02 19:45:00",1.091,0.769,0.762,0.797,1.97,0.942,0.585,0.627,0.282,0.796,1.696,0.377,0.139,1.136
"2019-05-02 20:00:00",2.049,0.86,0.85,0.861,1.215,0.471,0.497,0.763,0.273,1.403,0.486,0.388,0.217,0.665
"2019-05-02 20:15:00",3.439,0.782,0.866,0.884,1.129,0.532,0.553,0.644,0.322,1.214,0.319,0.32,0.123,0.992
"2019-05-02 20:30:00",1.864,0.72,0.863,0.865,1.067,0.524,0.471,0.633,0.553,1.631,0.331,0.318,0.232,0.856
"2019-05-02 20:45:00",0.824,0.739,1.071,0.796,1.157,0.528,0.465,0.619,0.262,1.145,0.239,0.361,0.121,0.614
"2019-05-02 21:00:00",0.737,0.902,0.86,0.932,1.224,0.58,0.513,0.629,0.259,1.114,0.271,0.924,0.223,0.494
"2019-05-02 21:15:00",0.639,0.889,0.865,0.829,1.135,0.735,0.534,0.584,0.446,1.028,0.414,0.883,0.131,0.53
"2019-05-02 21:30:00",0.653,0.741,0.857,0.76,1.165,0.674,0.472,0.533,0.498,0.477,0.292,0.286,0.205,0.547
"2019-05-02 21:45:00",0.796,0.83,0.588,0.825,1.077,0.595,0.462,0.524,0.347,1.106,0.212,0.96,0.151,0.58
"2019-05-02 22:00:00",3.274,0.749,0.401,0.969,0.864,0.563,0.546,0.619,0.24,1.341,0.225,1.233,0.184,0.345
"2019-05-02 22:15:00",3.1,0.703,0.363,0.597,1.57,0.551,0.498,1.771,0.242,0.599,0.315,0.816,0.171,0.293
"2019-05-02 22:30:00",1.167,0.224,0.297,0.812,1.152,0.603,0.459,2.149,0.249,1.698,0.199,0.663,0.162,0.383
